customer_id,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,churn_score,cltv,churn_reason,customer_type,cltv_type
6047-YHPVI,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,66,2454,Competitor offered higher download speeds,New,Low
5380-WJKOV,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,65,2941,Competitor offered higher download speeds,Established,Low
8168-UQWWF,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,70,5674,Competitor offered more data,New,High
7760-OYPDY,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,90,5586,Competitor offered more data,New,High
9420-LOJKX,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,82,2966,Competitor offered more data,Established,Low
7495-OOKFY,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,69,5302,Competitor made better offer,New,High
1658-BYGOY,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,81,3179,Competitor made better offer,Established,Low
5698-BQJOH,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,96,5571,Price too high,New,High
5919-TMRGD,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,87,2483,Product dissatisfaction,New,Low
9191-MYQKX,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,70,3457,Service dissatisfaction,New,Low
8637-XJIVR,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,86,5806,Lack of self-service on Website,New,High
0278-YXOOG,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,66,2604,Network reliability,New,Low
4598-XLKNJ,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,88,5337,Limited range of services,Established,High
3192-NQECA,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,86,5034,Lack of affordable download/upload speed,Loyal,Medium
0486-HECZI,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,75,5154,Long distance charges,Loyal,High
4846-WHAFZ,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,67,2793,Extra data charges,Loyal,Low
5299-RULOA,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,87,5998,Price too high,New,High
0404-SWRVG,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76,4415,Product dissatisfaction,New,Medium
4412-YLTKF,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,95,4638,Service dissatisfaction,Established,Medium
6207-WIOLX,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,99,4190,Lack of self-service on Website,Established,Medium
3091-FYHKI,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,80,2301,Network reliability,New,Low
2372-HWUHI,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,76,2570,Don't know,New,Low
0390-DCFDQ,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,3964,Don't know,New,Low
4080-OGPJL,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,66,2662,Don't know,New,Low
2135-RXIHG,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,73,2600,Poor expertise of online support,New,Low
3874-EQOEP,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,94,2786,Poor expertise of phone support,New,Low
0867-MKZVY,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,86,5719,Price too high,Established,High
3376-BMGFE,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,75,4287,Product dissatisfaction,New,Medium
3445-HXXGF,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,100,5444,Service dissatisfaction,Loyal,High
1875-QIVME,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,83,4690,Lack of self-service on Website,New,Medium
0691-JVSYA,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,80,4328,Network reliability,Loyal,Medium
2656-FMOKZ,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,99,5717,Limited range of services,Established,High
2070-FNEXE,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,81,4419,Lack of affordable download/upload speed,New,Medium
6317-YPKDH,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,95,4534,Long distance charges,New,Medium
9367-WXLCH,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,86,2152,Extra data charges,New,Low
1918-ZBFQJ,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,73,5142,Price too high,Established,High
1024-GUALD,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,94,4851,Product dissatisfaction,New,Medium
2472-OVKUP,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,94,2283,Service dissatisfaction,New,Low
1285-OKIPP,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,98,3394,Lack of self-service on Website,New,Low
7825-ECJRF,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,71,3764,Network reliability,Established,Low
7841-TZDMQ,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,76,2667,Don't know,New,Low
9408-SSNVZ,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,67,2227,Don't know,New,Low
0742-MOABM,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,82,3394,Don't know,New,Low
2232-DMLXU,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,81,3638,Poor expertise of online support,New,Low
8937-RDTHP,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,66,2484,Poor expertise of phone support,New,Low
1251-KRREG,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,81,2556,Price too high,New,Low
0094-OIFMO,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,85,5980,Product dissatisfaction,New,High
9947-OTFQU,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,86,4616,Service dissatisfaction,Established,Medium
0322-YINQP,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,77,5687,Lack of self-service on Website,New,High
4629-NRXKX,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,75,5687,Network reliability,New,High
9514-JDSKI,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,65,5828,Limited range of services,New,High
4959-JOSRX,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,99,4884,Lack of affordable download/upload speed,New,Medium
7273-TEFQD,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,96,2314,Long distance charges,New,Low
3606-TWKGI,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,84,2494,Extra data charges,Established,Low
6323-AYBRX,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,83,5084,Price too high,Loyal,Medium
4385-GZQXV,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,81,3810,Product dissatisfaction,Established,Low
6366-ZGQGL,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,73,5087,Service dissatisfaction,New,Medium
5940-AHUHD,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,69,3338,Lack of self-service on Website,New,Low
6432-TWQLB,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,80,3676,Network reliability,New,Low
4484-GLZOU,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,65,4839,Don't know,Loyal,Medium
9512-UIBFX,United States,California,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,68,4643,Don't know,Established,Medium
5583-SXDAG,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,97,4094,Don't know,New,Medium
3488-PGMQJ,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,80,4345,Poor expertise of online support,New,Medium
3580-REOAC,United States,California,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,83,4061,Poor expertise of phone support,New,Medium
7534-BFESC,United States,California,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,98,2018,Price too high,Established,Low
6390-DSAZX,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,80,2565,Product dissatisfaction,New,Low
8098-LLAZX,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,85,3677,Service dissatisfaction,New,Low
0265-EDXBD,United States,California,Mount Laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,69,4105,Lack of self-service on Website,Established,Medium
7563-BIUPC,United States,California,Borrego Springs,92004,"33.200369, -116.192313",33.200369,-116.192313,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,69,5715,Network reliability,New,High
2321-OMBXY,United States,California,Carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,81,2071,Limited range of services,Loyal,Low
2840-XANRC,United States,California,Del Mar,92014,"32.948262, -117.256086",32.948262,-117.256086,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,73,2212,Lack of affordable download/upload speed,Established,Low
5020-ZSTTY,United States,California,El Cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,83,4149,Long distance charges,Loyal,Medium
5804-LEPIM,United States,California,Escondido,92029,"33.079834, -117.134275",33.079834,-117.134275,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,73,2671,Extra data charges,New,Low
0122-OAHPZ,United States,California,Oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,67,2473,Price too high,New,Low
2868-SNELZ,United States,California,Pala,92059,"33.384345, -117.072619",33.384345,-117.072619,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,92,2683,Product dissatisfaction,New,Low
4322-RCYMT,United States,California,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,81,4903,Service dissatisfaction,Loyal,Medium
6680-NENYN,United States,California,Pauma Valley,92061,"33.313828, -116.940501",33.313828,-116.940501,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,91,5250,Lack of self-service on Website,Loyal,High
1343-EHPYB,United States,California,Ranchita,92066,"33.215251, -116.53633",33.215251,-116.53633,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,1,98,4352,Network reliability,Loyal,Medium
2034-GDRCN,United States,California,Valley Center,92082,"33.25283, -116.986079",33.25283,-116.986079,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,76,4157,Don't know,New,Medium
0219-YTZUE,United States,California,San Diego,92103,"32.747484, -117.166877",32.747484,-117.166877,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,73,4939,Don't know,New,Medium
0623-IIHUG,United States,California,San Diego,92104,"32.741499, -117.127409",32.741499,-117.127409,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,97,4778,Don't know,Established,Medium
4572-DVCGN,United States,California,San Diego,92105,"32.741859, -117.090353",32.741859,-117.090353,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,1,85,3598,Poor expertise of online support,New,Low
9057-MSWCO,United States,California,San Diego,92108,"32.774046, -117.142454",32.774046,-117.142454,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,91,2927,Poor expertise of phone support,Established,Low
1010-DIAUQ,United States,California,San Diego,92116,"32.765299, -117.122565",32.765299,-117.122565,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,98,5383,Price too high,New,High
0259-GBZSH,United States,California,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,73,3878,Product dissatisfaction,New,Low
9601-BRXPO,United States,California,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,66,3642,Service dissatisfaction,Established,Low
6905-NIQIN,United States,California,San Diego,92154,"32.578103, -117.012975",32.578103,-117.012975,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,1,76,2431,Don't know,New,Low
5167-ZFFMM,United States,California,Indio,92201,"33.713891, -116.237257",33.713891,-116.237257,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,81,3424,Network reliability,New,Low
4895-TMWIR,United States,California,Indian Wells,92210,"33.537646, -116.291089",33.537646,-116.291089,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,80,5888,Limited range of services,New,High
0533-BNWKF,United States,California,Palm Desert,92211,"33.762759, -116.324817",33.762759,-116.324817,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,100,5502,Lack of affordable download/upload speed,Loyal,High
